country,article count,quality count,Population mid-2018 (millions),population (millions)
Ukraine,304,15,42.3,42.3
United Arab Emirates,59,2,9.5,9.5
United Kingdom,865,57,66.4,66.4
United States,1091,82,328,328.0
Uruguay,290,2,3.5,3.5
Uzbekistan,29,1,32.9,32.9
Vanuatu,60,3,0.3,0.3
Venezuela,135,3,31.8,31.8
Vietnam,191,13,94.7,94.7
Yemen,122,2,28.9,28.9
Zambia,25,0,17.7,17.7
Zimbabwe,167,2,14,14.0
